seed,topology,traffic_level,destination_pattern,mask_target,routing_pressure,ablation,baseline_hops,tested_hops,baseline_congested_hops,tested_congested_hops,baseline_mask_size,tested_mask_size,baseline_energy_proxy,tested_energy_proxy,baseline_latency_proxy,tested_latency_proxy,path_changed
11,8x8,low,clustered,4,low,baseline,3,3,0,0,18,18,6.24,6.24,3.0,3.0,0
11,8x8,low,clustered,4,low,space_bits_only,3,3,0,0,18,18,6.24,6.24,3.0,3.0,0
11,8x8,low,clustered,4,low,mask_only,3,3,0,0,18,4,6.24,3.72,3.0,3.0,0
11,8x8,low,clustered,4,low,both,3,3,0,0,18,4,6.24,3.72,3.0,3.0,0
11,8x8,low,clustered,4,low,null_dispatch,3,3,0,0,18,18,6.24,6.24,3.0,3.0,0
11,8x8,low,clustered,4,high,baseline,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,low,clustered,4,high,space_bits_only,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,low,clustered,4,high,mask_only,4,4,0,0,18,4,7.24,4.72,4.0,4.0,0
11,8x8,low,clustered,4,high,both,4,4,0,0,18,4,7.24,4.72,4.0,4.0,0
11,8x8,low,clustered,4,high,null_dispatch,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,low,clustered,8,low,baseline,5,5,0,0,18,18,8.24,8.24,5.0,5.0,0
11,8x8,low,clustered,8,low,space_bits_only,5,5,0,0,18,18,8.24,8.24,5.0,5.0,0
11,8x8,low,clustered,8,low,mask_only,5,5,0,0,18,8,8.24,6.44,5.0,5.0,0
11,8x8,low,clustered,8,low,both,5,5,0,0,18,8,8.24,6.44,5.0,5.0,0
11,8x8,low,clustered,8,low,null_dispatch,5,5,0,0,18,18,8.24,8.24,5.0,5.0,0
11,8x8,low,clustered,8,high,baseline,5,5,0,0,18,18,8.24,8.24,5.0,5.0,0
11,8x8,low,clustered,8,high,space_bits_only,5,5,0,0,18,18,8.24,8.24,5.0,5.0,0
11,8x8,low,clustered,8,high,mask_only,5,5,0,0,18,8,8.24,6.44,5.0,5.0,0
11,8x8,low,clustered,8,high,both,5,5,0,0,18,8,8.24,6.44,5.0,5.0,0
11,8x8,low,clustered,8,high,null_dispatch,5,5,0,0,18,18,8.24,8.24,5.0,5.0,0
11,8x8,low,clustered,12,low,baseline,3,3,0,0,18,18,6.24,6.24,3.0,3.0,0
11,8x8,low,clustered,12,low,space_bits_only,3,3,0,0,18,18,6.24,6.24,3.0,3.0,0
11,8x8,low,clustered,12,low,mask_only,3,3,0,0,18,12,6.24,5.16,3.0,3.0,0
11,8x8,low,clustered,12,low,both,3,3,0,0,18,12,6.24,5.16,3.0,3.0,0
11,8x8,low,clustered,12,low,null_dispatch,3,3,0,0,18,18,6.24,6.24,3.0,3.0,0
11,8x8,low,clustered,12,high,baseline,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,low,clustered,12,high,space_bits_only,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,low,clustered,12,high,mask_only,4,4,0,0,18,12,7.24,6.16,4.0,4.0,0
11,8x8,low,clustered,12,high,both,4,4,0,0,18,12,7.24,6.16,4.0,4.0,0
11,8x8,low,clustered,12,high,null_dispatch,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,low,clustered,18,low,baseline,3,3,0,0,18,18,6.24,6.24,3.0,3.0,0
11,8x8,low,clustered,18,low,space_bits_only,3,3,0,0,18,18,6.24,6.24,3.0,3.0,0
